transaction_id,date,account,amount,currency,type
1,02/04/2026,IT1234,-708.47,EUR,transfer
2,01/03/2026,IT6789,297.44,EUR,transfer
3,27/01/2026,IT8901,2173.45,EUR,deposit
4,24/05/2026,IT6789,-866.74,EUR,withdrawal
5,12/01/2026,IT7890,-438.77,EUR,transfer
6,17/04/2026,IT2345,1067.45,EUR,transfer
7,02/02/2026,IT1234,-1080.85,EUR,withdrawal
8,07/03/2026,IT4567,-1922.24,EUR,withdrawal
9,08/01/2026,IT5678,968.21,EUR,deposit
10,22/01/2026,IT4567,4423.63,EUR,deposit
11,11/05/2026,IT5678,701.87,EUR,deposit
12,05/02/2026,IT5678,1262.64,EUR,transfer
13,11/05/2026,IT1234,2108.86,EUR,deposit
14,12/03/2026,IT3456,-1475.91,EUR,withdrawal
15,22/01/2026,IT1234,64.39,EUR,transfer
16,23/04/2026,IT6789,371.85,EUR,deposit
17,19/01/2026,IT6789,2266.91,EUR,deposit
18,15/02/2026,IT8901,3268.06,EUR,deposit
19,14/01/2026,IT4567,23%02))12,EUR,deposit
20,03/05/2026,IT4567,-337.94,EUR,transfer
21,17/04/2026,IT6789,-551.5,EUR,withdrawal
22,29/04/2026,IT7890,-82.33,EUR,withdrawal
23,01/01/1750,IT3456,4707.06,EUR,deposit
24,27/05/2026,IT1234,-1971.65,EUR,withdrawal
25,20/05/2026,IT7890,-439.24,EUR,withdrawal
26,03/04/2026,IT6789,-949.24,EUR,withdrawal
27,10/02/2026,IT2345,-16.5,EUR,transfer
28,06/03/2026,IT2345,1652.01,EUR,deposit
29,05/04/2026,IT8901,-1249.47,EUR,transfer
30,26/04/2026,IT8901,-115.5,EUR,withdrawal
31,07/05/2026,IT7890,477.68,EUR,transfer
32,17/03/2026,IT5678,-189.22,EUR,withdrawal
33,16/05/2026,IT5678,-146.96,EUR,withdrawal
34,06/03/2026,IT4567,-65.77,EUR,withdrawal
35,23/04/2026,IT2345,26.67,EUR,transfer
36,14/02/2026,IT5678,1965.35,EUR,deposit
37,28/04/2026,IT6789,-514.43,EUR,withdrawal
38,02/04/2026,IT6789,978.26,EUR,deposit
39,06/01/2026,IT3456,-189.31,EUR,transfer
40,09/01/2026,IT7890,115.47,EUR,transfer
41,10/04/2026,IT3456,-675.46,EUR,withdrawal
42,24/02/2026,IT3456,-1613.63,EUR,withdrawal
43,27/03/2026,IT6789,259.65,EUR,transfer
44,14/02/2026,IT8901,4175.68,EUR,deposit
45,04/01/2026,IT5678,3231.84,EUR,deposit
46,06/01/2026,IT1234,-575.21,EUR,withdrawal
47,18/01/2026,IT5678,1030.32,EUR,transfer
48,19/01/2026,IT6789,-487.89,EUR,transfer
49,09/04/2026,IT5678,4110.93,EUR,deposit
50,12/04/2026,IT6789,1029.11,EUR,transfer
51,11/05/2026,IT1234,-337.96,EUR,transfer
52,23/02/2026,IT3456,3360.8,EUR,deposit
53,25/05/2026,IT7890,1277.12,EUR,transfer
54,26/05/2026,IT7890,-947.23,EUR,withdrawal
55,27/04/2026,IT3456,-1645.16,EUR,withdrawal
56,16/05/2026,IT4567,-256.81,EUR,withdrawal
57,02/01/2026,IT7890,-132.91,EUR,transfer
58,22/05/2026,IT6789,-1375.15,EUR,transfer
59,15/03/2026,IT8901,-1502.53,EUR,withdrawal
60,29/04/2026,IT8901,4325.01,EUR,deposit
61,09/05/2026,IT7890,1143.66,EUR,transfer
62,09/04/2026,IT8901,3748.15,EUR,deposit
63,29/04/2026,IT3456,-264.02,EUR,withdrawal
64,25/02/2026,IT4567,-390.83,EUR,withdrawal
65,17/05/2026,IT8901,1350.5,EUR,transfer
66,06/02/2026,IT7890,-1790.13,EUR,withdrawal
67,22/03/2026,IT8901,-1970.9,EUR,withdrawal
68,07/03/2026,IT1234,3614.54,EUR,deposit
69,21/03/2026,IT8901,-807.33,EUR,transfer
70,09/01/2026,IT3456,-1282.7,EUR,transfer
71,12/02/2026,IT1234,565.77,EUR,transfer
72,23/04/2026,IT3456,2045.41,EUR,deposit
73,21/04/2026,IT4567,-209.7,EUR,withdrawal
74,30/03/2026,IT6789,23%02))12,EUR,deposit
75,21/04/2026,IT8901,1332.52,EUR,deposit
76,11/01/2026,IT4567,193.66,EUR,deposit
77,,IT7890,-702.1,EUR,transfer
78,16/05/2026,IT5678,4261.85,EUR,deposit
79,14/04/2026,IT3456,700.2,EUR,transfer
80,24/02/2026,IT5678,-865.78,EUR,withdrawal
81,12/04/2026,IT1234,-517.45,EUR,transfer
82,03/05/2026,IT8901,-888.24,EUR,transfer
83,13/04/2026,IT4567,-61.73,EUR,transfer
84,18/05/2026,IT6789,-851.16,EUR,transfer
85,02/04/2026,IT3456,168.84,EUR,deposit
86,04/01/2026,IT7890,-1732.15,EUR,withdrawal
87,20/02/2026,IT8901,-574.23,EUR,transfer
88,15/02/2026,IT1234,-542.75,EUR,withdrawal
89,18/03/2026,IT3456,718.74,EUR,transfer
90,05/03/2026,IT3456,-1447.4,EUR,transfer
91,17/01/2026,IT4567,192.6,EUR,transfer
92,28/03/2026,IT3456,-1001.58,EUR,transfer
93,09/03/2026,IT6789,-1091.87,EUR,withdrawal
94,18/04/2026,IT4567,170.29,EUR,transfer
95,06/02/2026,IT4567,4033.21,EUR,deposit
96,07/05/2026,IT3456,-1243.32,EUR,transfer
97,18/03/2026,IT6789,-1734.97,EUR,withdrawal
98,24/02/2026,IT5678,4828.73,EUR,deposit
99,05/03/2026,IT6789,-837.24,EUR,withdrawal
100,11/04/2026,IT3456,1292.53,EUR,deposit
101,05/05/2026,IT6789,3593.56,EUR,deposit
102,,IT2345,-863.01,EUR,transfer
103,24/05/2026,IT2345,501.81,EUR,deposit
104,18/01/2026,IT3456,-1245.72,EUR,withdrawal
105,10/05/2026,IT7890,1255.14,EUR,deposit
106,10/03/2026,IT2345,4105.64,EUR,deposit
107,16/03/2026,IT6789,-1844.46,EUR,withdrawal
108,28/04/2026,IT5678,1247.09,EUR,transfer
109,29/01/2026,IT3456,-1051.06,EUR,withdrawal
110,27/04/2026,IT6789,479.01,EUR,deposit
111,03/02/2026,IT7890,-416.06,EUR,transfer
112,13/04/2026,IT6789,44.63,EUR,transfer
