transaction_id,date,account,amount,currency,type
1,26/01/2026,IT6789,290.2,EUR,transfer
2,23/04/2026,IT5678,3371.28,EUR,deposit
3,20/01/2026,IT6789,4262.18,EUR,deposit
4,02/01/2026,IT7890,3230.13,EUR,deposit
5,08/03/2026,IT6789,3104.74,EUR,deposit
6,04/01/2026,IT7890,920.12,EUR,transfer
7,12/02/2026,IT4567,-16.68,EUR,transfer
8,07/03/2026,IT6789,4304.71,EUR,deposit
9,17/02/2026,IT4567,-1702.61,EUR,withdrawal
10,16/04/2026,IT1234,35.44,EUR,transfer
11,04/04/2026,IT2345,23%02))12,EUR,transfer
12,16/02/2026,IT4567,739.36,EUR,transfer
13,19/03/2026,IT8901,1489.5,EUR,transfer
14,12/04/2026,IT6789,142.36,EUR,deposit
15,26/04/2026,IT3456,3502.88,EUR,deposit
16,04/05/2026,IT5678,-1096.41,EUR,withdrawal
17,11/04/2026,IT1234,3428.87,EUR,deposit
18,29/04/2026,IT8901,-386.17,EUR,withdrawal
19,07/02/2026,IT6789,4597.95,EUR,deposit
20,17/03/2026,IT3456,238.74,EUR,deposit
21,26/05/2026,IT2345,408.1,EUR,transfer
22,05/03/2026,IT3456,2805.23,EUR,deposit
23,12/04/2026,IT4567,3614.44,EUR,deposit
24,08/01/2026,IT7890,-1303.67,EUR,withdrawal
25,13/05/2026,IT4567,2129.07,EUR,deposit
26,28/01/2026,IT2345,-1981.73,EUR,withdrawal
27,12/03/2026,IT8901,2573.94,EUR,deposit
28,20/05/2026,IT4567,-1179.56,EUR,transfer
29,10/01/2026,IT8901,-110.55,EUR,transfer
30,11/04/2026,IT3456,4575.81,EUR,deposit
31,02/02/2026,IT4567,1378.57,EUR,transfer
32,12/05/2026,IT3456,99.88,EUR,deposit
33,08/04/2026,IT8901,2145.64,EUR,deposit
34,24/05/2026,IT6789,4303.18,EUR,deposit
35,01/04/2026,IT6789,444.27,EUR,transfer
36,21/01/2026,IT7890,997.53,EUR,transfer
37,25/04/2026,IT7890,-1435.97,EUR,transfer
38,21/03/2026,IT7890,616.55,EUR,deposit
39,26/01/2026,IT8901,631.76,EUR,transfer
40,24/05/2026,IT6789,-887.99,EUR,withdrawal
41,09/01/2026,IT3456,4191.12,EUR,deposit
42,28/01/2026,IT6789,1068.4,EUR,transfer
43,29/04/2026,IT5678,-665.74,EUR,transfer
44,04/02/2026,IT6789,-1757.91,EUR,withdrawal
45,09/05/2026,IT2345,3693.66,EUR,deposit
46,04/01/2026,IT1234,-505.61,EUR,withdrawal
47,12/04/2026,IT8901,-1368.3,EUR,withdrawal
48,15/03/2026,IT2345,4324.12,EUR,deposit
49,03/01/2026,IT7890,-308.72,EUR,withdrawal
50,26/01/2026,IT4567,-731.9,EUR,withdrawal
51,11/05/2026,IT3456,1282.11,EUR,transfer
52,12/02/2026,IT5678,-391.72,EUR,transfer
53,31/03/2026,IT3456,-381.52,EUR,transfer
54,19/04/2026,IT3456,-379.54,EUR,transfer
55,19/03/2026,IT1234,808.23,EUR,transfer
56,30/04/2026,IT6789,-1202.14,EUR,withdrawal
57,12/02/2026,IT1234,-1642.98,EUR,withdrawal
58,04/04/2026,IT2345,-539.52,EUR,withdrawal
59,20/04/2026,IT3456,881.36,EUR,deposit
60,29/05/2026,IT5678,-1825.7,EUR,withdrawal
61,28/03/2026,IT4567,-1542.65,EUR,withdrawal
62,31/01/2026,IT8901,1268.25,EUR,transfer
63,06/03/2026,IT5678,592.99,EUR,transfer
64,05/01/2026,IT3456,-1110.81,EUR,withdrawal
65,15/01/2026,IT8901,-1393.04,EUR,withdrawal
66,16/03/2026,IT5678,-1771.54,EUR,withdrawal
67,10/01/2026,IT5678,-1512.24,EUR,withdrawal
68,03/03/2026,IT8901,-1343.91,EUR,transfer
69,29/03/2026,IT6789,-477.64,EUR,transfer
70,10/05/2026,IT4567,3196.2,EUR,deposit
71,10/04/2026,IT6789,-245.17,EUR,withdrawal
72,09/03/2026,IT7890,-687.99,EUR,transfer
73,12/02/2026,IT5678,-349.38,EUR,withdrawal
74,19/05/2026,IT2345,274.7,EUR,transfer
75,16/04/2026,IT4567,3881.2,EUR,deposit
76,26/05/2026,IT3456,-214.69,EUR,withdrawal
