transaction_id,date,account,amount,currency,type
1,08/01/2026,IT8901,1955.17,EUR,deposit
2,22/02/2026,IT6789,-1208.63,EUR,withdrawal
3,31/03/2026,IT5678,,EUR,withdrawal
4,14/05/2026,IT4567,2375.71,EUR,deposit
5,07/05/2026,IT7890,-697.65,EUR,withdrawal
6,04/03/2026,IT8901,1415.58,EUR,transfer
7,13/03/2026,IT7890,-213.3,EUR,transfer
8,20/02/2026,IT4567,1455.69,EUR,transfer
9,09/03/2026,IT8901,2224.11,EUR,deposit
10,20/01/2026,IT6789,-1449.49,EUR,withdrawal
11,23/01/2026,IT7890,-166.52,EUR,transfer
12,31/01/2026,IT2345,-1051.48,EUR,withdrawal
13,01/02/2026,IT2345,800.92,EUR,transfer
14,28/05/2026,IT8901,-939.81,EUR,withdrawal
15,19/01/2026,IT8901,1946.54,EUR,deposit
16,16/02/2026,IT6789,307.25,EUR,transfer
17,14/03/2026,IT7890,3570.72,EUR,deposit
18,13/04/2026,IT3456,-685.0,EUR,transfer
19,13/03/2026,IT2345,-328.94,EUR,withdrawal
20,26/01/2026,IT7890,1723.4,EUR,deposit
21,22/04/2026,IT1234,-633.53,EUR,withdrawal
22,18/05/2026,IT6789,-284.7,EUR,withdrawal
23,18/02/2026,IT6789,1375.57,EUR,deposit
24,22/03/2026,IT1234,-44.78,EUR,transfer
25,21/04/2026,IT1234,-1387.47,EUR,transfer
26,18/03/2026,IT4567,-1235.74,EUR,withdrawal
27,18/01/2026,IT5678,-688.61,EUR,transfer
28,16/05/2026,IT5678,-891.2,EUR,transfer
29,14/03/2026,IT8901,490.9,EUR,transfer
30,02/01/2026,IT4567,2005.4,EUR,deposit
31,31/05/2026,IT6789,-888.51,EUR,withdrawal
32,02/05/2026,IT7890,-1392.77,EUR,withdrawal
33,18/03/2026,IT7890,4969.22,EUR,deposit
34,15/01/2026,IT7890,1984.73,EUR,deposit
35,26/01/2026,IT8901,1125.62,EUR,deposit
36,23/02/2026,IT4567,3734.74,EUR,deposit
37,24/04/2026,IT4567,-604.72,EUR,withdrawal
38,19/05/2026,IT4567,-650.61,EUR,transfer
39,03/03/2026,IT8901,-969.49,EUR,withdrawal
40,11/04/2026,IT7890,-1280.16,EUR,withdrawal
41,18/03/2026,IT8901,-555.74,EUR,withdrawal
42,11/05/2026,IT6789,169.48,EUR,deposit
43,06/05/2026,IT6789,,EUR,transfer
44,22/05/2026,IT7890,-1858.01,EUR,withdrawal
45,,IT6789,-1815.56,EUR,withdrawal
46,27/04/2026,IT5678,-935.67,EUR,transfer
47,13/03/2026,IT3456,-237.39,EUR,withdrawal
48,30/01/2026,IT8901,-1185.33,EUR,withdrawal
49,17/04/2026,IT6789,-1462.61,EUR,transfer
50,19/05/2026,IT4567,-1480.82,EUR,transfer
51,25/03/2026,IT6789,3548.34,EUR,deposit
52,14/02/2026,IT8901,-314.97,EUR,withdrawal
53,12/02/2026,IT6789,-133.66,EUR,withdrawal
54,09/01/2026,IT4567,-1069.75,EUR,withdrawal
55,15/03/2026,IT8901,-1427.55,EUR,withdrawal
56,14/03/2026,IT2345,-1586.87,EUR,withdrawal
57,24/05/2026,IT2345,-1440.16,EUR,withdrawal
58,28/03/2026,IT6789,,EUR,deposit
59,23/01/2026,IT7890,1094.07,EUR,transfer
60,10/02/2026,IT3456,-199.43,EUR,withdrawal
61,28/03/2026,IT4567,-267.52,EUR,withdrawal
62,14/05/2026,IT4567,1108.26,EUR,transfer
63,09/04/2026,IT1234,-533.82,EUR,withdrawal
64,03/02/2026,IT4567,-1873.91,EUR,withdrawal
65,20/01/2026,IT1234,-148.43,EUR,withdrawal
66,23/01/2026,IT4567,1581.97,EUR,deposit
67,15/02/2026,IT8901,1903.29,EUR,deposit
68,15/01/2026,IT4567,-872.95,EUR,transfer
69,20/02/2026,IT6789,-598.22,EUR,transfer
70,21/01/2026,IT4567,-677.08,EUR,transfer
71,07/02/2026,IT6789,4642.65,EUR,deposit
72,18/01/2026,IT5678,-572.57,EUR,withdrawal
73,30/04/2026,IT3456,1090.25,EUR,deposit
74,01/02/2026,IT2345,3004.59,EUR,deposit
75,03/02/2026,IT8901,-159.59,EUR,withdrawal
76,06/01/2026,IT4567,691.89,EUR,transfer
77,20/04/2026,IT2345,1226.65,EUR,transfer
78,15/01/2026,IT7890,219.13,EUR,transfer
79,07/04/2026,IT4567,-341.95,EUR,withdrawal
80,03/02/2026,IT8901,875.71,EUR,transfer
81,04/01/2026,IT5678,4210.78,EUR,deposit
82,21/05/2026,IT7890,790.66,EUR,transfer
83,15/05/2026,IT6789,-153.58,EUR,transfer
84,28/05/2026,IT7890,-242.65,EUR,withdrawal
85,13/01/2026,IT7890,-259.66,EUR,transfer
86,19/03/2026,IT4567,-399.13,EUR,transfer
87,21/04/2026,IT5678,602.56,EUR,deposit
88,05/02/2026,IT5678,1326.83,EUR,deposit
89,25/03/2026,IT2345,1162.13,EUR,transfer
90,03/03/2026,IT8901,-1108.89,EUR,withdrawal
91,05/03/2026,IT4567,-543.33,EUR,transfer
92,03/02/2026,IT1234,2034.98,EUR,deposit
93,10/05/2026,IT6789,787.76,EUR,transfer
94,22/02/2026,IT1234,4938.87,EUR,deposit
95,16/01/2026,IT4567,1361.77,EUR,transfer
96,13/04/2026,IT6789,1293.72,EUR,transfer
97,14/05/2026,IT2345,2732.38,EUR,deposit
98,07/02/2026,IT1234,-1090.09,EUR,transfer
99,11/04/2026,IT8901,-715.55,EUR,transfer
100,14/03/2026,IT5678,593.0,EUR,deposit
101,17/02/2026,IT4567,-804.39,EUR,withdrawal
102,23/05/2026,IT2345,-1809.72,EUR,withdrawal
103,01/01/1750,IT8901,359.52,EUR,transfer
104,01/01/2026,IT2345,4105.7,EUR,deposit
105,01/01/1750,IT3456,3181.53,EUR,deposit
106,05/04/2026,IT4567,-1776.85,EUR,withdrawal
107,02/04/2026,IT8901,3940.53,EUR,deposit
108,20/02/2026,IT5678,-95.18,EUR,withdrawal
109,30/04/2026,IT5678,232.09,EUR,deposit
110,18/05/2026,IT2345,59.7,EUR,transfer
111,18/03/2026,IT6789,-341.85,EUR,withdrawal
112,09/01/2026,IT7890,-170.98,EUR,transfer
113,11/03/2026,IT2345,-189.59,EUR,withdrawal
114,26/02/2026,IT3456,4194.91,EUR,deposit
115,25/02/2026,IT8901,-437.21,EUR,transfer
116,07/02/2026,IT3456,2038.15,EUR,deposit
117,07/01/2026,IT8901,-701.62,EUR,withdrawal
118,10/02/2026,IT2345,553.91,EUR,transfer
119,15/02/2026,IT2345,2212.21,EUR,deposit
120,17/05/2026,IT3456,4827.81,EUR,deposit
121,12/01/2026,IT1234,135.28,EUR,deposit
122,02/05/2026,IT8901,2917.31,EUR,deposit
123,15/05/2026,IT2345,-224.63,EUR,transfer
124,10/04/2026,IT2345,-733.01,EUR,withdrawal
125,15/05/2026,IT3456,-671.97,EUR,withdrawal
126,28/04/2026,IT7890,3774.72,EUR,deposit
127,28/05/2026,IT1234,,EUR,transfer
128,10/01/2026,IT5678,4787.92,EUR,deposit
129,11/04/2026,IT5678,-1841.72,EUR,withdrawal
130,08/01/2026,IT7890,3046.15,EUR,deposit
131,10/03/2026,IT1234,140.88,EUR,deposit
132,08/01/2026,IT1234,610.08,EUR,transfer
133,07/05/2026,IT8901,1170.48,EUR,transfer
134,24/03/2026,IT5678,461.96,EUR,transfer
135,17/03/2026,IT3456,946.22,EUR,deposit
136,11/02/2026,IT3456,-1265.4,EUR,withdrawal
137,16/02/2026,IT2345,-1385.92,EUR,transfer
138,03/03/2026,IT3456,2169.79,EUR,deposit
139,01/03/2026,IT3456,1625.47,EUR,deposit
140,02/01/2026,IT7890,-515.46,EUR,withdrawal
141,,IT1234,-924.36,EUR,withdrawal
142,25/03/2026,IT7890,-1243.36,EUR,transfer
143,21/05/2026,IT2345,529.7,EUR,transfer
144,10/02/2026,IT3456,-938.21,EUR,withdrawal
145,25/03/2026,IT5678,1027.19,EUR,transfer
146,11/02/2026,IT4567,-668.56,EUR,withdrawal
147,26/04/2026,IT4567,3381.22,EUR,deposit
148,05/03/2026,IT8901,4815.68,EUR,deposit
149,30/03/2026,IT5678,2863.51,EUR,deposit
150,19/01/2026,IT2345,-1425.94,EUR,withdrawal
151,21/05/2026,IT7890,1318.9,EUR,transfer
152,03/02/2026,IT3456,3479.21,EUR,deposit
153,11/05/2026,IT6789,-1898.42,EUR,withdrawal
154,21/03/2026,IT5678,4680.95,EUR,deposit
155,23/01/2026,IT5678,1493.42,EUR,transfer
156,07/03/2026,IT6789,4840.42,EUR,deposit
157,10/02/2026,IT7890,107.04,EUR,deposit
158,30/03/2026,IT4567,3446.19,EUR,deposit
159,16/04/2026,IT4567,396.17,EUR,transfer
160,28/05/2026,IT4567,1800.4,EUR,deposit
161,07/01/2026,IT8901,-1380.11,EUR,transfer
162,25/03/2026,IT8901,2610.02,EUR,deposit
163,04/03/2026,IT5678,844.4,EUR,transfer
164,10/02/2026,IT6789,549.22,EUR,deposit
165,14/04/2026,IT1234,,EUR,transfer
166,08/04/2026,IT3456,1398.42,EUR,transfer
167,03/04/2026,IT5678,-1079.26,EUR,withdrawal
168,24/01/2026,IT6789,4484.53,EUR,deposit
169,30/01/2026,IT2345,-904.47,EUR,transfer
170,03/02/2026,IT1234,98.55,EUR,transfer
171,12/03/2026,IT6789,550.69,EUR,transfer
172,14/03/2026,IT2345,768.13,EUR,transfer
173,05/05/2026,IT8901,-629.81,EUR,withdrawal
174,21/02/2026,IT3456,333.02,EUR,transfer
175,15/02/2026,IT3456,-1846.32,EUR,withdrawal
176,23/04/2026,IT4567,-20.36,EUR,withdrawal
177,17/03/2026,IT4567,2353.25,EUR,deposit
178,25/03/2026,IT3456,-399.58,EUR,withdrawal
179,11/03/2026,IT2345,1247.79,EUR,deposit
180,17/04/2026,IT7890,-464.86,EUR,transfer
181,12/04/2026,IT1234,4407.12,EUR,deposit
182,22/04/2026,IT8901,136.88,EUR,deposit
183,09/03/2026,IT5678,-1199.64,EUR,withdrawal
184,03/03/2026,IT2345,-1765.25,EUR,withdrawal
185,11/04/2026,IT7890,-1866.61,EUR,withdrawal
186,17/04/2026,IT3456,399.26,EUR,transfer
187,18/04/2026,IT8901,-1628.13,EUR,withdrawal
188,21/04/2026,IT4567,1310.21,EUR,transfer
189,11/03/2026,IT1234,-793.86,EUR,transfer
190,04/01/2026,IT4567,1209.15,EUR,transfer
191,30/05/2026,IT1234,-1819.42,EUR,withdrawal
192,07/05/2026,IT8901,1283.25,EUR,deposit
193,05/01/2026,IT8901,1457.04,EUR,transfer
194,05/04/2026,IT2345,-459.41,EUR,withdrawal
195,29/01/2026,IT5678,-1350.61,EUR,transfer
196,04/02/2026,IT8901,-474.17,EUR,withdrawal
197,23/03/2026,IT6789,-356.96,EUR,withdrawal
198,08/05/2026,IT3456,4381.76,EUR,deposit
199,20/02/2026,IT8901,-769.56,EUR,withdrawal
200,07/05/2026,IT2345,-988.4,EUR,withdrawal
201,10/01/2026,IT7890,265.65,EUR,transfer
202,20/03/2026,IT2345,-1386.46,EUR,withdrawal
203,16/01/2026,IT5678,-824.95,EUR,withdrawal
204,15/04/2026,IT2345,2699.13,EUR,deposit
205,16/03/2026,IT3456,1183.24,EUR,deposit
206,26/01/2026,IT1234,4745.58,EUR,deposit
207,22/03/2026,IT5678,-1520.95,EUR,withdrawal
208,26/03/2026,IT1234,-865.51,EUR,withdrawal
209,21/01/2026,IT1234,-79.57,EUR,withdrawal
210,18/05/2026,IT4567,-361.22,EUR,withdrawal
211,06/01/2026,IT5678,1178.63,EUR,transfer
212,24/05/2026,IT5678,-1242.17,EUR,transfer
213,05/02/2026,IT2345,2991.19,EUR,deposit
214,01/01/1750,IT8901,-1364.92,EUR,withdrawal
215,03/02/2026,IT1234,1264.27,EUR,deposit
216,03/02/2026,IT6789,-561.02,EUR,withdrawal
217,29/01/2026,IT2345,646.81,EUR,transfer
218,20/02/2026,IT8901,562.4,EUR,deposit
219,29/04/2026,IT8901,4381.0,EUR,deposit
220,07/03/2026,IT5678,381.67,EUR,deposit
221,01/05/2026,IT2345,-633.32,EUR,withdrawal
222,06/02/2026,IT5678,-542.87,EUR,withdrawal
223,29/01/2026,IT1234,-858.03,EUR,withdrawal
224,03/01/2026,IT6789,-1996.18,EUR,withdrawal
225,28/05/2026,IT2345,-724.41,EUR,withdrawal
226,01/05/2026,IT6789,-1174.62,EUR,withdrawal
227,26/04/2026,IT1234,-1213.36,EUR,withdrawal
228,14/05/2026,IT1234,-498.23,EUR,withdrawal
229,25/03/2026,IT7890,-1050.14,EUR,withdrawal
230,09/05/2026,IT6789,-145.96,EUR,withdrawal
231,04/05/2026,IT1234,-1862.63,EUR,withdrawal
232,27/04/2026,IT3456,2237.37,EUR,deposit
233,12/04/2026,IT6789,419.39,EUR,transfer
234,27/03/2026,IT5678,-155.9,EUR,withdrawal
235,19/04/2026,IT7890,-1900.84,EUR,withdrawal
236,10/01/2026,IT8901,550.13,EUR,transfer
237,01/05/2026,IT4567,-618.63,EUR,transfer
238,17/01/2026,IT3456,2781.17,EUR,deposit
239,18/02/2026,IT8901,2781.05,EUR,deposit
240,07/01/2026,IT1234,-857.55,EUR,withdrawal
241,22/05/2026,IT8901,-1405.28,EUR,withdrawal
242,08/04/2026,IT5678,1456.23,EUR,transfer
243,23/01/2026,IT6789,23%02))12,EUR,withdrawal
244,07/02/2026,IT2345,-1830.44,EUR,withdrawal
245,04/05/2026,IT2345,-803.85,EUR,withdrawal
246,01/01/2026,IT2345,-1948.27,EUR,withdrawal
247,20/03/2026,IT3456,465.96,EUR,deposit
248,23/05/2026,IT7890,-1035.04,EUR,withdrawal
249,18/02/2026,IT6789,143.78,EUR,transfer
250,16/02/2026,IT2345,121.21,EUR,transfer
251,15/01/2026,IT4567,2847.61,EUR,deposit
252,14/04/2026,IT7890,1546.06,EUR,deposit
253,02/04/2026,IT1234,-1099.45,EUR,withdrawal
254,11/02/2026,IT8901,-1173.44,EUR,withdrawal
255,15/02/2026,IT6789,1269.66,EUR,transfer
256,17/04/2026,IT1234,759.7,EUR,deposit
257,14/01/2026,IT6789,202.58,EUR,transfer
258,05/04/2026,IT8901,3822.76,EUR,deposit
259,29/04/2026,IT6789,-1597.83,EUR,withdrawal
260,01/01/2026,IT6789,-1163.53,EUR,withdrawal
261,04/04/2026,IT1234,2325.99,EUR,deposit
262,08/04/2026,IT7890,1167.37,EUR,transfer
263,02/02/2026,IT2345,-321.87,EUR,transfer
264,26/05/2026,IT8901,-1248.38,EUR,withdrawal
265,04/03/2026,IT8901,-1142.62,EUR,transfer
266,29/05/2026,IT2345,-849.27,EUR,withdrawal
267,28/03/2026,IT2345,-406.21,EUR,withdrawal
268,02/03/2026,IT7890,,EUR,transfer
269,27/03/2026,IT5678,-1482.89,EUR,transfer
270,01/01/1750,IT2345,-650.37,EUR,transfer
271,10/03/2026,IT4567,-1899.12,EUR,withdrawal
272,16/05/2026,IT8901,-523.09,EUR,withdrawal
273,22/02/2026,IT3456,-1329.87,EUR,withdrawal
274,12/04/2026,IT2345,2700.48,EUR,deposit
275,07/03/2026,IT5678,3968.68,EUR,deposit
276,29/01/2026,IT5678,-1458.05,EUR,withdrawal
277,10/01/2026,IT5678,-258.35,EUR,withdrawal
278,07/04/2026,IT1234,1374.05,EUR,transfer
279,01/01/1750,IT7890,-1305.45,EUR,transfer
280,04/03/2026,IT1234,-72.0,EUR,transfer
281,13/01/2026,IT6789,-1187.81,EUR,withdrawal
282,10/02/2026,IT8901,1214.36,EUR,deposit
283,18/03/2026,IT8901,547.98,EUR,transfer
284,26/04/2026,IT3456,426.06,EUR,transfer
285,09/01/2026,IT2345,170.29,EUR,deposit
286,12/03/2026,IT8901,-545.68,EUR,transfer
287,09/05/2026,IT3456,-1673.6,EUR,withdrawal
288,22/02/2026,IT8901,-225.25,EUR,withdrawal
289,09/05/2026,IT2345,-1886.57,EUR,withdrawal
290,01/02/2026,IT5678,23%02))12,EUR,withdrawal
291,13/03/2026,IT6789,2146.12,EUR,deposit
292,24/04/2026,IT7890,3667.89,EUR,deposit
293,29/04/2026,IT5678,2919.43,EUR,deposit
294,27/04/2026,IT4567,-1772.65,EUR,withdrawal
295,22/05/2026,IT2345,-336.7,EUR,withdrawal
296,10/05/2026,IT6789,-292.73,EUR,withdrawal
297,17/04/2026,IT6789,3319.52,EUR,deposit
298,17/01/2026,IT2345,638.46,EUR,deposit
299,09/01/2026,IT8901,-1226.96,EUR,withdrawal
300,17/04/2026,IT4567,313.88,EUR,transfer
301,23/04/2026,IT7890,350.89,EUR,transfer
302,19/03/2026,IT8901,4803.98,EUR,deposit
303,01/05/2026,IT5678,267.94,EUR,transfer
304,10/02/2026,IT1234,821.09,EUR,deposit
